"","...1","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"122",243,"COX4I1","PA",0.9876078,0.0165074,"enriched candidate"
"123",245,"EIF4B","PA",-1.6765027,0.0166077,"no hit"
"124",247,"PLS3","PA",0.692714,0.016647,"enriched candidate"
"125",249,"HSPA9","PA",1.2165599,0.0169997,"enriched candidate"
"126",251,"CD44","PA",0.7504626,0.0172474,"enriched candidate"
"127",253,"SLC25A5","PA",1.0757471,0.0178012,"enriched candidate"
"128",255,"LDHA","PA",-1.0940288,0.0179713,"no hit"
"129",257,"CYP51A1","PA",0.6923136,0.0183088,"enriched candidate"
"130",259,"BST2","PA",-0.5837096,0.0183943,"no hit"
"131",261,"SERPINB5","PA",-1.2072295,0.0187761,"no hit"
"132",263,"RDH11","PA",0.9828302,0.0190882,"enriched candidate"
"133",265,"STEAP4","PA",0.6904106,0.0192346,"enriched candidate"
"134",267,"RAB35","PA",0.9938404,0.0195449,"enriched candidate"
"135",269,"NUDT5","PA",-1.1725917,0.0196409,"no hit"
"136",271,"HPD","PA",-0.8261069,0.0197387,"no hit"
"137",273,"FH","PA",1.0869163,0.0201251,"enriched candidate"
"138",275,"STX4","PA",1.1623278,0.0204003,"enriched candidate"
"139",277,"PPP2CA","PA",-0.6038101,0.0204561,"no hit"
"140",279,"CMBL","PA",-0.8246131,0.0205955,"no hit"
"141",281,"AXL","PA",0.6605263,0.0211588,"enriched candidate"
"142",283,"RAB18","PA",-0.6475098,0.0215452,"no hit"
"143",285,"NUTF2","PA",-0.8619663,0.0218436,"no hit"
"144",287,"LDHB","PA",-1.0726842,0.0218544,"no hit"
"145",289,"ABHD14B","PA",-0.8417298,0.0225916,"no hit"
"146",291,"GSTO1","PA",-1.4148474,0.0227676,"no hit"
"147",293,"SCCPDH","PA",0.7664889,0.0228555,"enriched candidate"
"148",295,"GDI2","PA",-0.6969195,0.0232498,"no hit"
"149",297,"PNP","PA",-0.8627469,0.0232774,"no hit"
"150",299,"PRSS21","PA",0.6963114,0.0233809,"enriched candidate"
"151",301,"ANP32B","PA",-1.3860798,0.0236871,"no hit"
"152",303,"SLC25A6","PA",1.1797124,0.0238151,"enriched candidate"
"153",305,"CPS1","PA",1.0270738,0.0239479,"enriched candidate"
"154",307,"ANP32A","PA",-1.1868057,0.0244341,"no hit"
"155",309,"AIFM1","PA",1.0483436,0.0246193,"enriched candidate"
"156",311,"TXN","PA",-0.8956316,0.0247717,"no hit"
"157",313,"YWHAB","PA",-0.8802779,0.0248553,"no hit"
"158",315,"PDHB","PA",1.06992,0.0248684,"enriched candidate"
"159",317,"PTGES","PA",0.5018075,0.025071,"no hit"
"160",319,"PTPRJ","PA",0.5950299,0.0251618,"enriched candidate"
"161",321,"CLPTM1L","PA",1.0283125,0.0256774,"enriched candidate"
"162",323,"SCAMP3","PA",-0.6761965,0.0257679,"no hit"
"163",325,"CLIC4","PA",0.4297073,0.0265122,"no hit"
"164",327,"PPP2R1A","PA",-0.9015254,0.0269971,"no hit"
"165",329,"KRAS","PA",0.7409604,0.0275758,"enriched candidate"
"166",331,"ATP5F1","PA",0.8173218,0.0276858,"enriched candidate"
"167",333,"CLTA","PA",-0.839567,0.0277006,"no hit"
"168",335,"ACAT1","PA",1.0392981,0.0277856,"enriched candidate"
"169",337,"ATP5C1","PA",1.1618019,0.027949,"enriched candidate"
"170",339,"TRAP1","PA",1.2101336,0.0280957,"enriched candidate"
"171",341,"CD46","PA",0.56018,0.0281057,"no hit"
"172",343,"UBA1","PA",-0.8405999,0.0293119,"no hit"
"173",345,"PSME3","PA",-0.745981,0.0303332,"no hit"
"174",347,"UQCRC2","PA",0.9581527,0.0313243,"enriched candidate"
"175",349,"PLIN3","PA",-1.0299114,0.0315516,"no hit"
"176",351,"ADPGK","PA",0.4577273,0.0316733,"no hit"
"177",353,"YBX1","PA",-1.7691166,0.032033,"no hit"
"178",355,"ICAM1","PA",0.6716955,0.0323045,"enriched candidate"
"179",357,"TUBB4B","PA",-0.6867938,0.0324495,"no hit"
"180",359,"APOL2","PA",0.7718817,0.0326253,"enriched candidate"
"181",361,"SAR1A","PA",-0.7370703,0.032772,"no hit"
"182",363,"YWHAE","PA",-0.7459078,0.0330316,"no hit"
"183",365,"ACTC1|ACTA1","PA",0.8024025,0.0333403,"enriched candidate"
"184",367,"SSR4","PA",0.5855332,0.0335823,"enriched candidate"
"185",369,"GPI","PA",-0.7734076,0.0336305,"no hit"
"186",371,"ABCG2","PA",1.2601713,0.0336884,"enriched candidate"
"187",373,"CALM1","PA",0.7661187,0.0337566,"enriched candidate"
"188",375,"IGSF8","PA",0.8283054,0.0340433,"enriched candidate"
"189",377,"PGD","PA",-0.8701061,0.0341524,"no hit"
"190",379,"CD58","PA",0.7876075,0.0347561,"enriched candidate"
"191",381,"SERPINB6","PA",-0.7724718,0.0363172,"no hit"
"192",383,"PGAM1","PA",-1.0205799,0.0364536,"no hit"
"193",385,"HSD17B4","PA",0.7042386,0.0365094,"enriched candidate"
"194",387,"PLXNB2","PA",0.5541265,0.0367329,"no hit"
"195",389,"ATP5O","PA",0.9459344,0.0378524,"enriched candidate"
"196",391,"GLUD1","PA",1.1635431,0.0378675,"enriched candidate"
"197",393,"SRPRA","PA",0.8512058,0.0392771,"enriched candidate"
