"","...1","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"202",404,"S100A6","PE",-1.6077461,0.0142806,"no hit"
"203",406,"S100A11","PE",-2.2091287,0.0020713,"no hit"
"204",408,"TALDO1","PE",-1.6459841,0.0129596,"no hit"
"205",410,"NPEPPS","PE",-0.5433176,0.0645348,"no hit"
"206",412,"GNAI3","PE",0.9391857,0.0244602,"enriched candidate"
"207",414,"FKBP4","PE",-0.3854934,0.2367259,"no hit"
"208",416,"PTGR1","PE",-0.990376,0.0098556,"no hit"
"209",418,"SERBP1","PE",-2.5061499,0.0072845,"no hit"
"210",420,"CSE1L","PE",-0.7954495,0.0607079,"no hit"
"211",422,"MIF","PE",-1.4407526,0.0077227,"no hit"
"212",424,"ECH1","PE",1.5722015,0.0057688,"enriched hit"
"213",426,"B4GALT1","PE",-0.8345779,0.0193717,"no hit"
"214",428,"ANXA1","PE",-0.2255554,0.3627332,"no hit"
"215",430,"CTTN","PE",0.8124718,0.067396,"enriched candidate"
"216",432,"PTGFRN","PE",0.5533771,0.1184281,"no hit"
"217",434,"IQGAP1","PE",1.3611695,0.0501907,"enriched candidate"
"218",436,"TXNDC5","PE",0.8399299,0.0086885,"enriched candidate"
"219",438,"MDH2","PE",1.3314963,0.0039903,"enriched hit"
"220",440,"UQCRC1","PE",1.1517412,0.0026798,"enriched hit"
"221",442,"MYL6","PE",0.5520476,0.0623811,"no hit"
"222",444,"PUF60","PE",-0.420779,0.0718511,"no hit"
"223",446,"RDX","PE",1.1493159,0.0753589,"enriched candidate"
"224",448,"GNG12","PE",0.2823064,0.2445786,"no hit"
"225",450,"ATP5A1","PE",1.6104386,0.0007948,"enriched hit"
"226",452,"RAP1A","PE",0.7579538,0.0075436,"enriched candidate"
"227",454,"AGL","PE",-1.202955,0.0212008,"no hit"
"228",456,"SKP1","PE",-0.8009505,0.0351854,"no hit"
"229",458,"GLOD4","PE",-0.9762664,0.0263486,"no hit"
"230",460,"TXNRD1","PE",-0.6128501,0.0496451,"no hit"
"231",462,"RPN2","PE",1.3097488,0.0028882,"enriched hit"
"232",464,"PPP1CA","PE",0.3873057,0.1165183,"no hit"
"233",466,"HSPH1","PE",-0.4065802,0.1311818,"no hit"
