gene_name,logFC,pvalue,numReplicates,AveExpr,LipidProbe,hit_annotation
KRT14,-2.347253271268953,0.2933949246666666,3,7.3165466225188975,BF-NAPE,no hit
LRRFIP1,-2.3156668003583767,0.15026128766666666,3,5.338735542119425,BF-NAPE,no hit
PSMD7,-2.229568185129648,0.45752847,3,5.552068794449486,BF-NAPE,no hit
PABPC4,-2.1781689923312753,0.22444205833333333,3,5.479570549367775,BF-NAPE,no hit
GNB1,-2.0392753587480588,0.181146329,3,5.813319463473176,BF-NAPE,no hit
EIF5B,-1.8064292343537367,0.15010361436666667,3,5.432178340733501,BF-NAPE,no hit
TOP2B,-1.8054939398126129,1.0000666666666667e-13,3,7.07617948001197,BF-NAPE,no hit
IKBIP,-1.4926713651951473,2.99006e-4,1,5.123524572463907,BF-NAPE,no hit
EDF1,-1.4219946192251238,1.33831e-4,1,5.494987584383179,BF-NAPE,no hit
IDH2,-1.3220758106192716,2.20018e-4,1,5.494427682153407,BF-NAPE,no hit
GGH,-1.211143819771367,2.18037e-4,1,5.645110284552566,BF-NAPE,no hit
FANCI,-1.1432397552695635,0.002305482,1,5.608589626427379,BF-NAPE,no hit
TIGAR,-1.0603828228652794,0.009297801,1,5.3068067440023885,BF-NAPE,no hit
DDX6,-0.8660611671154999,0.022805842,1,5.524546581737329,BF-NAPE,no hit
KRT13,-0.8660611671154999,2.59927e-4,1,5.985169848176295,BF-NAPE,no hit
RBM8A,-0.8466437132882592,0.008457033,1,5.759599980912605,BF-NAPE,no hit
VDAC3,-0.8422222287484118,0.0035185015,2,5.909525993289375,BF-NAPE,no hit
NXN,-0.8293886831901642,0.066951284,1,5.357373017747545,BF-NAPE,no hit
KRT78,-0.8282503781613695,0.10586347100000001,2,5.774782023615693,BF-NAPE,no hit
NAA10,-0.8217855296723504,0.070156484,1,5.356819554433695,BF-NAPE,no hit
RER1,-0.8066983852140693,0.028221553,1,5.453416867076545,BF-NAPE,no hit
ESD,-0.7975700054959614,0.47142795200004806,2,5.958291778030122,BF-NAPE,no hit
NIT2,-0.7623611174719174,0.085094631,1,5.177640642513219,BF-NAPE,no hit
PGP,-0.7502547803544004,0.1476139855,2,5.554386044496751,BF-NAPE,no hit
GOLPH3,-0.7471474700680298,0.016036253,3,5.906050866342161,BF-NAPE,no hit
NUP62,-0.7460797467209755,0.107798972,1,5.348415491805284,BF-NAPE,no hit
NASP,-0.7070376459926776,1.02e-5,1,5.9303064059966655,BF-NAPE,no hit
