"","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"901","ECHS1","PA",0.7161459,0.2028539,"no hit"
"902","ECHS1","PE",1.2456994,0.0336037,"enriched candidate"
"903","FDFT1","PA",0.5369991,0.2040962,"no hit"
"904","FDFT1","PE",0.906592,0.0390194,"enriched candidate"
"905","CRELD1","PA",0.3407067,0.2045007,"no hit"
"906","CRELD1","PE",0.1745879,0.5085792,"no hit"
"907","PTPRF","PA",0.7766446,0.2048545,"no hit"
"908","PTPRF","PE",0.8001789,0.1920595,"no hit"
"909","SLC2A1","PA",0.3761336,0.2057072,"no hit"
"910","SLC2A1","PE",0.2777946,0.3451433,"no hit"
"911","EIF4A3","PA",-0.7338368,0.2057364,"no hit"
"912","EIF4A3","PE",-0.9888043,0.093762,"no hit"
"913","MYO1C","PA",1.2340096,0.2060303,"no hit"
"914","MYO1C","PE",1.3361376,0.1725278,"no hit"
"915","MGST1","PA",0.6989488,0.2068239,"no hit"
"916","MGST1","PE",0.9786733,0.0832118,"no hit"
"917","TXLNG","PA",-0.8441387,0.2068484,"no hit"
"918","TXLNG","PE",-1.411581,0.041856,"no hit"
"919","GORASP2","PA",-0.5605087,0.2071039,"no hit"
"920","GORASP2","PE",0.0462007,0.9153207,"no hit"
"921","7-Sep","PA",-1.2334307,0.2071909,"no hit"
"922","7-Sep","PE",-1.51991,0.1242262,"no hit"
"923","ASPH","PA",0.9251205,0.2073504,"no hit"
"924","ASPH","PE",1.2596332,0.0917313,"no hit"
"925","GDPD3","PA",0.3772271,0.207759,"no hit"
"926","GDPD3","PE",0.3725936,0.2131561,"no hit"
"927","SNTB2","PA",0.5476806,0.2080427,"no hit"
"928","SNTB2","PE",0.7260393,0.1004546,"no hit"
"929","HPCAL1","PA",-0.5952747,0.2081707,"no hit"
"930","HPCAL1","PE",-0.6338699,0.1814264,"no hit"
"931","CLPTM1","PA",0.4093705,0.2088599,"no hit"
"932","CLPTM1","PE",0.6133579,0.0664599,"enriched candidate"
"933","2-Sep","PA",-0.8926841,0.2095095,"no hit"
"934","2-Sep","PE",-1.0904602,0.1292285,"no hit"
"935","DNAJB11","PA",0.909842,0.2109674,"no hit"
"936","DNAJB11","PE",0.9897602,0.1752513,"no hit"
"937","TMEM259","PA",0.4572342,0.2135374,"no hit"
"938","TMEM259","PE",0.5374831,0.1468733,"no hit"
"939","CD276","PA",0.3194928,0.2136433,"no hit"
"940","CD276","PE",0.2672407,0.2951536,"no hit"
"941","ITGA1","PA",0.7363086,0.2178101,"no hit"
"942","ITGA1","PE",0.7095578,0.2342999,"no hit"
"943","CKAP4","PA",1.0374425,0.218704,"no hit"
"944","CKAP4","PE",1.3524718,0.1138606,"no hit"
"945","ALDOA","PA",-0.4578697,0.2198786,"no hit"
"946","ALDOA","PE",-0.6252609,0.0996045,"no hit"
"947","VASN","PA",0.3945106,0.2206697,"no hit"
"948","VASN","PE",0.2133211,0.5015023,"no hit"
"949","TXLNA","PA",-0.7825708,0.2223436,"no hit"
"950","TXLNA","PE",-1.3905142,0.037387,"no hit"
"951","LGALS3","PA",0.3152423,0.2228815,"no hit"
"952","LGALS3","PE",0.2921546,0.2572663,"no hit"
"953","ECI2","PA",0.7559716,0.2230628,"no hit"
"954","ECI2","PE",1.156379,0.0693628,"enriched candidate"
"955","AUP1","PA",0.7653565,0.2247176,"no hit"
"956","AUP1","PE",0.9183123,0.1487121,"no hit"
"957","KIF23","PA",1.3762028,0.2249349,"no hit"
"958","KIF23","PE",1.1455282,0.3094339,"no hit"
"959","DDX39B","PA",-0.4483316,0.2278352,"no hit"
"960","DDX39B","PE",-0.0884175,0.8083495,"no hit"
"961","ARPC2","PA",0.8387718,0.2294064,"no hit"
"962","ARPC2","PE",0.942093,0.1792502,"no hit"
"963","PSMB4","PA",-0.4262704,0.2300335,"no hit"
"964","PSMB4","PE",-0.3543919,0.3153738,"no hit"
"965","FKBP10","PA",0.4576698,0.2301868,"no hit"
"966","FKBP10","PE",0.6133966,0.1132303,"no hit"
"967","MBOAT7","PA",0.5866982,0.2301932,"no hit"
"968","MBOAT7","PE",0.9957172,0.0492205,"enriched candidate"
"969","CLPP","PA",0.4817375,0.2305996,"no hit"
"970","CLPP","PE",0.7479977,0.0698576,"enriched candidate"
"971","LIMA1","PA",0.7611764,0.2311615,"no hit"
"972","LIMA1","PE",0.9203629,0.1512981,"no hit"
"973","PODXL2","PA",0.3814965,0.2315324,"no hit"
"974","PODXL2","PE",0.365509,0.2509176,"no hit"
"975","TKT","PA",-0.3688553,0.2315713,"no hit"
"976","TKT","PE",-0.4913761,0.1163288,"no hit"
"977","DDX6","PA",-0.8606561,0.2327959,"no hit"
"978","DDX6","PE",-1.1429265,0.1183436,"no hit"
"979","HMGB1","PA",-0.7689009,0.2341188,"no hit"
"980","HMGB1","PE",-1.0217888,0.1191183,"no hit"
"981","ATP2A2","PA",0.5280694,0.2350848,"no hit"
"982","ATP2A2","PE",0.9832882,0.034379,"enriched candidate"
"983","RSU1","PA",-0.529302,0.2352318,"no hit"
"984","RSU1","PE",-0.4237555,0.338593,"no hit"
"985","S100A16","PA",-0.3952593,0.2363937,"no hit"
"986","S100A16","PE",-0.8653984,0.0151367,"no hit"
"987","CCDC47","PA",0.9389928,0.2368414,"no hit"
"988","CCDC47","PE",1.2682447,0.1156282,"no hit"
"989","HADHA","PA",0.4662461,0.2393573,"no hit"
"990","HADHA","PE",0.9638485,0.0214936,"enriched candidate"
"991","MTHFD1","PA",-0.9865059,0.2396704,"no hit"
"992","MTHFD1","PE",-1.2043627,0.1548941,"no hit"
"993","PSMA7","PA",-0.2666472,0.2407575,"no hit"
"994","PSMA7","PE",-0.0195521,0.9301211,"no hit"
"995","ITGB1","PA",0.6028352,0.2430567,"no hit"
"996","ITGB1","PE",0.6285449,0.224289,"no hit"
"997","CAP1","PA",-0.467502,0.2434228,"no hit"
"998","CAP1","PE",-0.3160625,0.4256011,"no hit"
"999","ATP6AP2","PA",0.4593696,0.245817,"no hit"
"1000","ATP6AP2","PE",0.4762395,0.2295416,"no hit"
"1001","NRAS","PA",-0.355589,0.2459363,"no hit"
"1002","NRAS","PE",-0.6062246,0.0556734,"no hit"
"1003","ABCF2","PA",-0.838477,0.2464148,"no hit"
"1004","ABCF2","PE",-1.2729247,0.0855027,"no hit"
"1005","SLC22A18","PA",0.4999536,0.2465142,"no hit"
"1006","SLC22A18","PE",0.6506782,0.1363421,"no hit"
"1007","MYO1E","PA",1.037495,0.2482288,"no hit"
"1008","MYO1E","PE",1.0311746,0.2510173,"no hit"
"1009","PGRMC2","PA",0.5230338,0.2494738,"no hit"
"1010","PGRMC2","PE",0.4461151,0.3235609,"no hit"
"1011","CD109","PA",0.5226382,0.2494741,"no hit"
"1012","CD109","PE",0.2843424,0.5255844,"no hit"
"1013","PABPC1","PA",-0.7657607,0.2502205,"no hit"
"1014","PABPC1","PE",-1.2853266,0.0613787,"no hit"
"1015","COMT","PA",0.3793053,0.2502978,"no hit"
"1016","COMT","PE",0.5558602,0.0986723,"no hit"
"1017","SACM1L","PA",0.6798284,0.250487,"no hit"
"1018","SACM1L","PE",0.8889034,0.1378444,"no hit"
"1019","GARS","PA",-0.5564182,0.2531211,"no hit"
"1020","GARS","PE",-0.617841,0.2063277,"no hit"
"1021","REEP6","PA",-0.3948524,0.2555428,"no hit"
"1022","REEP6","PE",-0.5485894,0.1200405,"no hit"
"1023","CSPG4","PA",0.3372564,0.2574308,"no hit"
"1024","CSPG4","PE",0.2071553,0.4818129,"no hit"
"1025","RPL18A","PA",-0.8012599,0.2577255,"no hit"
"1026","RPL18A","PE",-1.0647002,0.1377294,"no hit"
"1027","WLS","PA",0.3405494,0.2585101,"no hit"
"1028","WLS","PE",0.6001163,0.0544451,"enriched candidate"
"1029","HNRNPA1","PA",-0.7122415,0.2596919,"no hit"
"1030","HNRNPA1","PE",-0.0891362,0.8858464,"no hit"
"1031","CXADR","PA",0.3314016,0.2596961,"no hit"
"1032","CXADR","PE",0.180373,0.5344966,"no hit"
"1033","TMX3","PA",0.3871463,0.2613083,"no hit"
"1034","TMX3","PE",0.4835278,0.164626,"no hit"
"1035","SCAMP1","PA",-0.3356148,0.2623313,"no hit"
"1036","SCAMP1","PE",-0.5459533,0.0759383,"no hit"
"1037","EIF1AY|EIF1AX","PA",-0.9107681,0.2623737,"no hit"
"1038","EIF1AY|EIF1AX","PE",-1.1709613,0.1540957,"no hit"
"1039","TAP1","PA",0.5026019,0.2644086,"no hit"
"1040","TAP1","PE",1.0862074,0.0226909,"enriched candidate"
"1041","RBMX","PA",-0.646381,0.2654104,"no hit"
"1042","RBMX","PE",0.0391064,0.9453388,"no hit"
"1043","CLTC","PA",-0.6017355,0.2672966,"no hit"
"1044","CLTC","PE",-0.9168297,0.0980671,"no hit"
"1045","TM9SF4","PA",-0.3620671,0.2680679,"no hit"
"1046","TM9SF4","PE",-0.381575,0.2440042,"no hit"
"1047","FXR1","PA",-0.813101,0.2688156,"no hit"
"1048","FXR1","PE",-1.0024651,0.1764772,"no hit"
"1049","ERH","PA",-0.5510695,0.2701238,"no hit"
"1050","ERH","PE",-0.0124216,0.9798265,"no hit"
"1051","ANXA4","PA",-0.3897706,0.2713977,"no hit"
"1052","ANXA4","PE",-1.0457973,0.0069116,"no hit"
"1053","VAMP3","PA",-0.3572429,0.2717534,"no hit"
"1054","VAMP3","PE",-0.525288,0.1126949,"no hit"
"1055","LDLR","PA",-0.3726042,0.2733777,"no hit"
"1056","LDLR","PE",-0.4455738,0.1933577,"no hit"
"1057","10-Sep","PA",-0.8078085,0.2742079,"no hit"
"1058","10-Sep","PE",-1.053354,0.1585877,"no hit"
"1059","PODXL","PA",0.436464,0.2764118,"no hit"
"1060","PODXL","PE",0.4962518,0.2180638,"no hit"
"1061","CFL1","PA",0.3755804,0.2771756,"no hit"
"1062","CFL1","PE",0.6947909,0.0526751,"enriched candidate"
"1063","GEMIN5","PA",-0.9234248,0.2773421,"no hit"
"1064","GEMIN5","PE",-1.1881832,0.1665755,"no hit"
"1065","CNPY2|F8W031","PA",0.6198838,0.2774079,"no hit"
"1066","CNPY2|F8W031","PE",0.6623748,0.246877,"no hit"
"1067","VIM","PA",-0.7550759,0.277643,"no hit"
"1068","VIM","PE",0.2748573,0.6885019,"no hit"
"1069","RPS25","PA",-1.0555336,0.2778374,"no hit"
"1070","RPS25","PE",-1.4913347,0.1311902,"no hit"
"1071","SLC44A1","PA",0.5331593,0.2799447,"no hit"
"1072","SLC44A1","PE",0.319194,0.5133502,"no hit"
"1073","TM9SF3","PA",-0.4410135,0.2804642,"no hit"
"1074","TM9SF3","PE",-0.2820623,0.4858499,"no hit"
"1075","VDAC1","PA",0.4891815,0.2832936,"no hit"
"1076","VDAC1","PE",0.6999095,0.1308736,"no hit"
"1077","METAP2","PA",-1.1672268,0.2838974,"no hit"
"1078","METAP2","PE",-1.7239209,0.1200882,"no hit"
"1079","AP2M1","PA",0.6692516,0.2839912,"no hit"
"1080","AP2M1","PE",0.4596463,0.4580464,"no hit"
"1081","NCEH1","PA",0.389553,0.2842689,"no hit"
"1082","NCEH1","PE",0.4323896,0.2363231,"no hit"
"1083","GPRC5A","PA",0.5835683,0.2844384,"no hit"
"1084","GPRC5A","PE",0.7300156,0.1843865,"no hit"
"1085","SCAMP2","PA",-0.3611587,0.2845094,"no hit"
"1086","SCAMP2","PE",-0.7141227,0.0425531,"no hit"
"1087","APMAP","PA",0.4756683,0.2868441,"no hit"
"1088","APMAP","PE",0.4846636,0.2781128,"no hit"
"1089","GPD2","PA",0.7016824,0.2878149,"no hit"
"1090","GPD2","PE",1.3088019,0.0558469,"enriched candidate"
"1091","RPS7","PA",-0.8317582,0.2886797,"no hit"
"1092","RPS7","PE",-1.1847248,0.1367301,"no hit"
"1093","PSMB1","PA",-0.3880081,0.2891161,"no hit"
"1094","PSMB1","PE",-0.1190548,0.7414412,"no hit"
"1095","SLC16A1","PA",0.2446925,0.2914283,"no hit"
"1096","SLC16A1","PE",0.1246826,0.5865823,"no hit"
"1097","P4HB","PA",0.5295123,0.2925002,"no hit"
"1098","P4HB","PE",0.5141162,0.3063375,"no hit"
"1099","ANXA2","PA",0.2289044,0.2959714,"no hit"
"1100","ANXA2","PE",0.0315289,0.8838129,"no hit"
"1101","FARSB","PA",-0.6211158,0.2960562,"no hit"
"1102","FARSB","PE",-0.9754518,0.1081376,"no hit"
"1103","RAB27B","PA",0.3835296,0.2963088,"no hit"
"1104","RAB27B","PE",0.2493259,0.4934005,"no hit"
"1105","VAPA","PA",0.5013389,0.2965477,"no hit"
"1106","VAPA","PE",0.9139444,0.0655578,"enriched candidate"
"1107","RAB1B","PA",-0.3824102,0.2980556,"no hit"
"1108","RAB1B","PE",-0.4802344,0.1950401,"no hit"
"1109","9-Sep","PA",-0.9908514,0.2982647,"no hit"
"1110","9-Sep","PE",-1.1495393,0.229899,"no hit"
"1111","DEGS1","PA",0.3264638,0.3008159,"no hit"
"1112","DEGS1","PE",0.5725459,0.0779586,"no hit"
"1113","DLG1","PA",0.268508,0.3014211,"no hit"
"1114","DLG1","PE",0.4981249,0.0638309,"no hit"
"1115","ZMPSTE24","PA",0.4647001,0.3040662,"no hit"
"1116","ZMPSTE24","PE",0.7210685,0.1179194,"no hit"
"1117","RABAC1","PA",-0.4214853,0.3040845,"no hit"
"1118","RABAC1","PE",-0.4863726,0.2378858,"no hit"
"1119","CSDE1","PA",-0.8677602,0.3051104,"no hit"
"1120","CSDE1","PE",-1.3081679,0.1288399,"no hit"
"1121","SCD","PA",0.4187249,0.3058105,"no hit"
"1122","SCD","PE",0.8347019,0.0498486,"enriched candidate"
"1123","SLC5A6","PA",-0.2534202,0.3077571,"no hit"
"1124","SLC5A6","PE",-0.5117102,0.0480789,"no hit"
"1125","HDGF","PA",-0.3794429,0.3080303,"no hit"
"1126","HDGF","PE",-0.7799302,0.0447058,"no hit"
"1127","FAU","PA",-1.2183756,0.3086996,"no hit"
"1128","FAU","PE",-1.5092772,0.2107272,"no hit"
"1129","S100A13","PA",-0.5376245,0.3089895,"no hit"
"1130","S100A13","PE",-0.9305155,0.0865794,"no hit"
"1131","RPL5","PA",-0.6903833,0.309751,"no hit"
"1132","RPL5","PE",-1.1747547,0.0920863,"no hit"
"1133","PLD3","PA",0.2875705,0.309841,"no hit"
"1134","PLD3","PE",0.3640653,0.2023372,"no hit"
"1135","TPM4","PA",0.4376922,0.3109776,"no hit"
"1136","TPM4","PE",0.5770425,0.1861186,"no hit"
"1137","RPS14","PA",-0.7317541,0.3128199,"no hit"
"1138","RPS14","PE",-1.1634865,0.1159482,"no hit"
"1139","STT3B","PA",1.2871175,0.3142492,"no hit"
"1140","STT3B","PE",1.3664882,0.2861883,"no hit"
"1141","FUBP1","PA",-0.3619687,0.3153676,"no hit"
"1142","FUBP1","PE",-0.6758808,0.0695858,"no hit"
"1143","SFPQ","PA",-0.5062834,0.3154967,"no hit"
"1144","SFPQ","PE",-0.0471734,0.9244352,"no hit"
"1145","ESYT1","PA",0.6876612,0.3183955,"no hit"
"1146","ESYT1","PE",0.9129691,0.1898051,"no hit"
"1147","M6PR","PA",-0.5028284,0.320501,"no hit"
"1148","M6PR","PE",-0.6549505,0.199845,"no hit"
"1149","FLVCR1","PA",0.3130558,0.3209768,"no hit"
"1150","FLVCR1","PE",0.0821283,0.7919818,"no hit"
"1151","RUVBL2","PA",-0.5663251,0.3221846,"no hit"
"1152","RUVBL2","PE",-0.7702881,0.1830327,"no hit"
"1153","CORO1C","PA",0.5854411,0.3242751,"no hit"
"1154","CORO1C","PE",0.6345545,0.2864592,"no hit"
"1155","RPL14","PA",-1.0125213,0.3250588,"no hit"
"1156","RPL14","PE",-1.3067001,0.2080305,"no hit"
"1157","TMEM165","PA",-0.4216952,0.3262406,"no hit"
"1158","TMEM165","PE",-0.4595446,0.2858887,"no hit"
"1159","NCL","PA",0.3709587,0.3266669,"no hit"
"1160","NCL","PE",0.7250099,0.0642066,"enriched candidate"
"1161","IKBIP","PA",0.7831438,0.3269566,"no hit"
"1162","IKBIP","PE",1.1417357,0.1589767,"no hit"
"1163","EIF2A","PA",-0.6542443,0.3272351,"no hit"
"1164","EIF2A","PE",-1.0084641,0.1378801,"no hit"
"1165","SEC61B","PA",0.3143726,0.3276498,"no hit"
"1166","SEC61B","PE",0.2599649,0.4163027,"no hit"
"1167","PSMA3","PA",-0.404046,0.327942,"no hit"
"1168","PSMA3","PE",-0.5553528,0.1837614,"no hit"
"1169","CYB5R3","PA",0.4456785,0.3290754,"no hit"
"1170","CYB5R3","PE",0.7990912,0.0887368,"no hit"
"1171","AK2","PA",0.5170853,0.3293545,"no hit"
"1172","AK2","PE",0.9504375,0.0817618,"no hit"
"1173","RPL24","PA",-0.9191877,0.3362564,"no hit"
"1174","RPL24","PE",-1.3019531,0.1786114,"no hit"
"1175","RPL36A|RPL36A-HNRNPH2","PA",-0.8823112,0.3364819,"no hit"
"1176","RPL36A|RPL36A-HNRNPH2","PE",-1.3371821,0.1517261,"no hit"
"1177","ARPC4-TTLL3|ARPC4","PA",0.3463547,0.3367566,"no hit"
"1178","ARPC4-TTLL3|ARPC4","PE",0.4158419,0.2514127,"no hit"
"1179","DDX3X","PA",-0.7297179,0.3378197,"no hit"
"1180","DDX3X","PE",-1.0153922,0.1873957,"no hit"
"1181","HLA-A","PA",0.2389993,0.3387667,"no hit"
"1182","HLA-A","PE",0.0103419,0.9665554,"no hit"
"1183","TMX2","PA",0.33174,0.3411925,"no hit"
"1184","TMX2","PE",0.9467155,0.0120021,"enriched candidate"
"1185","STX10","PA",-0.3488578,0.3420549,"no hit"
"1186","STX10","PE",-0.485636,0.1910114,"no hit"
"1187","CALR","PA",0.3275359,0.3420856,"no hit"
"1188","CALR","PE",0.5172317,0.1406136,"no hit"
"1189","PPP3CA","PA",-0.238898,0.3423152,"no hit"
"1190","PPP3CA","PE",-0.399238,0.1203675,"no hit"
"1191","EIF3G","PA",-0.8235661,0.342382,"no hit"
"1192","EIF3G","PE",-1.2972172,0.1418085,"no hit"
"1193","RPLP0","PA",-0.6730905,0.3433146,"no hit"
"1194","RPLP0","PE",-1.0651957,0.1407894,"no hit"
"1195","SLC7A2","PA",-0.2848604,0.3448875,"no hit"
"1196","SLC7A2","PE",-0.3995457,0.1903705,"no hit"
"1197","SLC31A1","PA",0.2908689,0.3458152,"no hit"
"1198","SLC31A1","PE",-0.0560104,0.8542247,"no hit"
"1199","RPS8","PA",-0.8715098,0.346118,"no hit"
"1200","RPS8","PE",-1.1752908,0.2083535,"no hit"
"1201","TMED5","PA",-0.4449062,0.3470317,"no hit"
"1202","TMED5","PE",-0.143135,0.7596693,"no hit"
"1203","RPL35","PA",-0.9043925,0.348088,"no hit"
"1204","RPL35","PE",-1.1620853,0.2315781,"no hit"
"1205","SCP2","PA",0.5047331,0.3484288,"no hit"
"1206","SCP2","PE",1.0237617,0.0664381,"enriched candidate"
"1207","E9PAM4|PI4K2A","PA",-0.3162002,0.3495461,"no hit"
"1208","E9PAM4|PI4K2A","PE",-0.4878897,0.1555436,"no hit"
"1209","RPL11","PA",-0.8546576,0.3500932,"no hit"
"1210","RPL11","PE",-1.1890316,0.1985455,"no hit"
"1211","RPL15","PA",-0.797802,0.3502915,"no hit"
"1212","RPL15","PE",-0.9475853,0.269608,"no hit"
"1213","TSPAN4","PA",0.6361595,0.3508632,"no hit"
"1214","TSPAN4","PE",0.2973885,0.6597311,"no hit"
"1215","RPS20","PA",-0.873913,0.3543163,"no hit"
"1216","RPS20","PE",-1.3810225,0.1502141,"no hit"
"1217","TECR","PA",0.7546452,0.3547755,"no hit"
"1218","TECR","PE",0.8234753,0.3136913,"no hit"
"1219","NAPA","PA",-0.2622515,0.3551982,"no hit"
"1220","NAPA","PE",-0.3380945,0.2368901,"no hit"
"1221","KDSR","PA",0.3551705,0.3584189,"no hit"
"1222","KDSR","PE",0.4978699,0.202922,"no hit"
"1223","ITGA2","PA",0.5012052,0.3592761,"no hit"
"1224","ITGA2","PE",0.2802604,0.605316,"no hit"
"1225","XRCC5","PA",-0.5917313,0.3605306,"no hit"
"1226","XRCC5","PE",-0.7128302,0.2731589,"no hit"
"1227","SYNCRIP","PA",-0.5910552,0.3608183,"no hit"
"1228","SYNCRIP","PE",-0.8579058,0.1902191,"no hit"
"1229","SURF4","PA",-0.2996728,0.3612315,"no hit"
"1230","SURF4","PE",-0.2397919,0.4631764,"no hit"
"1231","SYPL1","PA",-0.546815,0.3617302,"no hit"
"1232","SYPL1","PE",-0.3614096,0.5440042,"no hit"
"1233","FKBP9","PA",0.385595,0.3620501,"no hit"
"1234","FKBP9","PE",0.3653033,0.3873045,"no hit"
"1235","RPL7","PA",-0.8038363,0.3623667,"no hit"
"1236","RPL7","PE",-1.2803383,0.153799,"no hit"
"1237","MICA","PA",0.3456726,0.3624216,"no hit"
"1238","MICA","PE",0.3609124,0.3421447,"no hit"
"1239","RPL36","PA",-0.9026262,0.3626459,"no hit"
"1240","RPL36","PE",-1.168422,0.24222,"no hit"
"1241","RPS3A","PA",-0.7393476,0.3650739,"no hit"
"1242","RPS3A","PE",-1.0960594,0.1851519,"no hit"
"1243","CYB5B","PA",0.5613273,0.3671943,"no hit"
"1244","CYB5B","PE",0.6710972,0.2832957,"no hit"
"1245","RHEB","PA",0.2058517,0.3682448,"no hit"
"1246","RHEB","PE",0.2394298,0.2972043,"no hit"
"1247","SEC61A1","PA",0.2966841,0.3688266,"no hit"
"1248","SEC61A1","PE",0.6914496,0.0454093,"enriched candidate"
"1249","PDIA4","PA",0.6446313,0.368855,"no hit"
"1250","PDIA4","PE",0.8142042,0.2594935,"no hit"
"1251","P4HA2","PA",0.4168585,0.3718328,"no hit"
"1252","P4HA2","PE",0.5944729,0.2078787,"no hit"
"1253","PSMA4","PA",-0.2404741,0.3721474,"no hit"
"1254","PSMA4","PE",-0.0015543,0.9953458,"no hit"
"1255","UQCRB","PA",0.7334598,0.3729699,"no hit"
"1256","UQCRB","PE",1.1612093,0.165125,"no hit"
"1257","RPL23A","PA",-0.772157,0.3731138,"no hit"
"1258","RPL23A","PE",-1.0143976,0.2456676,"no hit"
"1259","RPS17","PA",-0.8838204,0.3731412,"no hit"
"1260","RPS17","PE",-1.4228098,0.1586376,"no hit"
"1261","RPS3","PA",-0.7743381,0.3734615,"no hit"
"1262","RPS3","PE",-1.1823833,0.1802986,"no hit"
"1263","PLEC","PA",-0.5750348,0.3758303,"no hit"
"1264","PLEC","PE",0.1088815,0.8654216,"no hit"
"1265","LGALS3BP","PA",0.2572816,0.3772971,"no hit"
"1266","LGALS3BP","PE",0.5519703,0.0677993,"no hit"
"1267","EEF2","PA",-0.6237502,0.3809253,"no hit"
"1268","EEF2","PE",-0.9191843,0.2021019,"no hit"
"1269","RAB1A","PA",-0.2464567,0.38114,"no hit"
"1270","RAB1A","PE",-0.3929116,0.1693721,"no hit"
"1271","RPS11","PA",-0.735422,0.3814275,"no hit"
"1272","RPS11","PE",-1.2214507,0.1533688,"no hit"
"1273","RPS2","PA",-0.8145821,0.3816428,"no hit"
"1274","RPS2","PE",-1.2056922,0.2008708,"no hit"
"1275","TMEM33","PA",0.2773073,0.3817426,"no hit"
"1276","TMEM33","PE",0.7626371,0.0238227,"enriched candidate"
"1277","RPL13","PA",-0.8333597,0.3820103,"no hit"
"1278","RPL13","PE",-1.1379202,0.2368046,"no hit"
"1279","RPL22","PA",-0.7907898,0.3822431,"no hit"
"1280","RPL22","PE",-1.3428734,0.1455192,"no hit"
"1281","CLCC1","PA",0.3326902,0.3825695,"no hit"
"1282","CLCC1","PE",0.6428979,0.1006723,"no hit"
"1283","RPS9","PA",-0.8120057,0.3860102,"no hit"
"1284","RPS9","PE",-1.3552671,0.1552954,"no hit"
"1285","RPS24","PA",-0.8573689,0.3870024,"no hit"
"1286","RPS24","PE",-1.2758859,0.20351,"no hit"
"1287","RPL34","PA",-0.9369821,0.3878728,"no hit"
"1288","RPL34","PE",-1.198869,0.2723436,"no hit"
"1289","EIF3F","PA",-0.3842297,0.3878973,"no hit"
"1290","EIF3F","PE",-0.83563,0.070114,"no hit"
"1291","MATR3","PA",-0.3896702,0.38809,"no hit"
"1292","MATR3","PE",-0.3518068,0.4349733,"no hit"
"1293","NIT2","PA",-0.2491599,0.3897615,"no hit"
"1294","NIT2","PE",-0.1309036,0.648931,"no hit"
"1295","S100A10","PA",0.28867,0.3912761,"no hit"
"1296","S100A10","PE",0.2487605,0.4588628,"no hit"
"1297","HTATIP2","PA",0.4882925,0.3912981,"no hit"
"1298","HTATIP2","PE",0.4114694,0.4687401,"no hit"
"1299","FAM3C","PA",-0.2530116,0.3918667,"no hit"
"1300","FAM3C","PE",-0.3495352,0.2411073,"no hit"
"1301","LRRC59","PA",1.0666575,0.3938065,"no hit"
"1302","LRRC59","PE",1.7379222,0.1715984,"no hit"
"1303","REEP5","PA",-0.3843386,0.3954758,"no hit"
"1304","REEP5","PE",-0.3321109,0.4616551,"no hit"
"1305","RPL28","PA",-0.7495031,0.397216,"no hit"
"1306","RPL28","PE",-1.0767428,0.2287,"no hit"
"1307","RPL7A","PA",-0.759763,0.3974695,"no hit"
"1308","RPL7A","PE",-1.0601064,0.2420791,"no hit"
"1309","RPL26","PA",-0.8335416,0.3979554,"no hit"
"1310","RPL26","PE",-1.2629444,0.2059466,"no hit"
"1311","RPL29","PA",-0.9636526,0.398223,"no hit"
"1312","RPL29","PE",-1.174668,0.3054071,"no hit"
"1313","IGF2BP3","PA",-0.6259536,0.3999283,"no hit"
"1314","IGF2BP3","PE",-0.9819136,0.1928785,"no hit"
"1315","TXNDC12","PA",0.3124914,0.4003237,"no hit"
"1316","TXNDC12","PE",0.5234791,0.1660708,"no hit"
"1317","AP2B1","PA",0.2743329,0.401814,"no hit"
"1318","AP2B1","PE",0.2643168,0.4188954,"no hit"
"1319","RPS13","PA",-0.724427,0.402199,"no hit"
"1320","RPS13","PE",-1.2016797,0.1716846,"no hit"
"1321","CDC42","PA",0.2414787,0.4050529,"no hit"
"1322","CDC42","PE",0.0214432,0.9404895,"no hit"
"1323","SLC2A3","PA",0.3829006,0.4054841,"no hit"
"1324","SLC2A3","PE",0.2428679,0.5956313,"no hit"
"1325","DARS","PA",0.4621965,0.4060339,"no hit"
"1326","DARS","PE",0.3120175,0.5728485,"no hit"
"1327","MPZL1","PA",0.3868072,0.4065007,"no hit"
"1328","MPZL1","PE",0.3173118,0.4945634,"no hit"
"1329","GLG1","PA",-0.2772624,0.4072998,"no hit"
"1330","GLG1","PE",-0.1132116,0.7330449,"no hit"
"1331","RPL13A","PA",-0.7918771,0.4074574,"no hit"
"1332","RPL13A","PE",-1.1281656,0.2424523,"no hit"
"1333","HDLBP","PA",-0.505236,0.4094137,"no hit"
"1334","HDLBP","PE",-0.8107209,0.1919928,"no hit"
"1335","RPL19","PA",-0.6723126,0.409986,"no hit"
"1336","RPL19","PE",-1.1177523,0.1776871,"no hit"
"1337","RPL8","PA",-0.9069136,0.4102002,"no hit"
"1338","RPL8","PE",-1.3424516,0.2279142,"no hit"
"1339","HM13","PA",0.37495,0.4111289,"no hit"
"1340","HM13","PE",0.509327,0.2679455,"no hit"
"1341","CPNE3","PA",-0.2338397,0.411348,"no hit"
"1342","CPNE3","PE",-0.3214158,0.2627167,"no hit"
"1343","RPS18","PA",-0.6707669,0.4127722,"no hit"
"1344","RPS18","PE",-1.1811845,0.1569838,"no hit"
"1345","VKORC1L1","PA",0.3571129,0.4136751,"no hit"
"1346","VKORC1L1","PE",0.3562727,0.4147544,"no hit"
"1347","RPL10A","PA",-0.7421003,0.4145078,"no hit"
"1348","RPL10A","PE",-1.0748685,0.2419216,"no hit"
