"","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"180","SRPRB","PE",1.6576933,0.0017175,"enriched hit"
"181","CD55","PA",0.7103563,0.0097561,"enriched candidate"
"182","CD55","PE",0.8532823,0.0027128,"enriched candidate"
"183","GNA11","PA",0.6994555,0.0104753,"enriched candidate"
"184","GNA11","PE",0.6551633,0.0154319,"enriched candidate"
"185","PHGDH","PA",-0.8681374,0.0107426,"no hit"
"186","PHGDH","PE",-0.9620424,0.0054918,"no hit"
"187","EIF4G2","PA",-0.9535521,0.0107689,"no hit"
"188","EIF4G2","PE",-1.4050036,0.0005427,"no hit"
"189","PGM1","PA",-1.1487993,0.0109453,"no hit"
"190","PGM1","PE",-1.2298332,0.0070886,"no hit"
"191","S100A4","PA",-1.1564389,0.0114301,"no hit"
"192","S100A4","PE",-1.5897264,0.0011082,"no hit"
"193","DPP3","PA",-1.0717803,0.0115417,"no hit"
"194","DPP3","PE",-0.8187028,0.0456998,"no hit"
"195","RABGGTB","PA",-1.1020058,0.0115516,"no hit"
"196","RABGGTB","PE",-1.3531511,0.0028302,"no hit"
"197","API5","PA",-0.8858819,0.011838,"no hit"
"198","API5","PE",-0.5529997,0.0977886,"no hit"
"199","PPIB","PA",0.805446,0.0118508,"enriched candidate"
"200","PPIB","PE",1.2116555,0.0005179,"enriched hit"
"201","CANX","PA",0.7625202,0.0118849,"enriched candidate"
"202","CANX","PE",0.9614163,0.0023895,"enriched candidate"
"203","YWHAZ","PA",-0.879541,0.0120203,"no hit"
"204","YWHAZ","PE",-1.3062261,0.000597,"no hit"
"205","SFN","PA",-1.0509365,0.0121962,"no hit"
"206","SFN","PE",-1.3210768,0.0025308,"no hit"
"207","NARS","PA",-1.0583062,0.0125384,"no hit"
"208","NARS","PE",-1.2664898,0.0038066,"no hit"
"209","IPO7","PA",-1.0332833,0.0125476,"no hit"
"210","IPO7","PE",-1.0718186,0.0100435,"no hit"
"211","CRTAP","PA",0.7743448,0.0128594,"enriched candidate"
"212","CRTAP","PE",1.1324719,0.0007623,"enriched hit"
"213","PRRC1","PA",-0.8420595,0.0128906,"no hit"
"214","PRRC1","PE",-0.9514735,0.0059171,"no hit"
"215","GNAQ","PA",0.6864202,0.0130591,"enriched candidate"
"216","GNAQ","PE",0.6472779,0.0182277,"enriched candidate"
"217","TAGLN2","PA",-0.8251559,0.0133704,"no hit"
"218","TAGLN2","PE",-1.1475567,0.0012577,"no hit"
"219","SRM","PA",-0.9561359,0.0133937,"no hit"
"220","SRM","PE",-1.0658276,0.006778,"no hit"
"221","LTA4H","PA",-1.0575724,0.0136723,"no hit"
