gene_name,protein_id,LipidProbe,hit_annotation,logFC,pvalue,AveExpr,fdr
NT5C2,P49902|P49902-2|Q5JUV4,1-10 FA,no hit,-0.56339482,0.05328159,23.53010696,0.122765134
CLYBL,Q8N0X4,1-10 FA,no hit,0.316776645,0.053772765,24.39323384,0.123478409
ECH1,Q13011,1-10 FA,no hit,0.413927504,0.0538099,24.2698604,0.123478409
POLR2H,C9JLU1|P52434|P52434-3,1-10 FA,no hit,0.267828625,0.054026313,23.90038301,0.123723543
OSBPL1A,Q9BXW6|Q9BXW6-2|Q9BXW6-4,1-10 FA,no hit,-0.452433768,0.054364001,23.2296546,0.124244852
TLN2,Q9Y4G6,1-10 FA,no hit,-0.246124876,0.055093534,23.36765336,0.125657776
PDIA4,P13667,1-10 FA,no hit,0.506301889,0.055434282,28.07061429,0.12618005
ACAT1,P24752,1-10 FA,no hit,0.265533389,0.056059811,23.51151694,0.126898734
NDUFV1,B4DE93|G3V0I5|P49821|P49821-2,1-10 FA,no hit,0.272579332,0.056139631,24.32017063,0.126898734
ACO2,A2A274|Q99798,1-10 FA,no hit,0.312915391,0.056187522,26.76701058,0.126898734
DDX23,Q9BUQ8,1-10 FA,no hit,0.309445947,0.056240303,24.05950051,0.126898734
NOL11,Q9H8H0,1-10 FA,no hit,0.266556338,0.056312016,24.73150765,0.126898734
ATP6V1A,P38606|P38606-2,1-10 FA,no hit,0.235742559,0.056470173,25.64069835,0.127001645
HNRNPA0,Q13151,1-10 FA,no hit,0.439247248,0.056659469,22.99924154,0.127174037
CBX3,Q13185,1-10 FA,enriched candidate,0.685795893,0.05720862,24.47506846,0.12815185
RAP1GDS1,P52306|P52306-4|P52306-5,1-10 FA,no hit,-0.453726307,0.057483736,25.15720054,0.128269367
TBC1D15,Q8TC07|Q8TC07-2|Q8TC07-3,1-10 FA,no hit,-0.259923057,0.057506457,23.44302637,0.128269367
UHRF1,A0A087WTW0|A0A087WVR3|Q96T88|Q96T88-2,1-10 FA,no hit,0.412136902,0.057601921,23.09152511,0.128269367
PSME1,Q06323|Q06323-2|Q06323-3,1-10 FA,no hit,-0.315032274,0.057911992,24.47765908,0.128500362
HNRNPM,A0A087X0X3|P52272|P52272-2,1-10 FA,no hit,0.301595157,0.058017445,25.21701182,0.128500362
CUL4A,Q13619,1-10 FA,no hit,-0.267457941,0.058138666,23.85422226,0.128500362
THOC1,A0A087WWS1|Q96FV9,1-10 FA,no hit,0.393581246,0.058160926,24.51685907,0.128500362
VIM,P08670,1-10 FA,no hit,0.362088475,0.058282936,28.38709871,0.128518428
WDR61,H0YMF9|H0YN81|Q9GZS3,1-10 FA,no hit,-0.301742143,0.058471558,23.31756537,0.128683018
RAB2A|DKFZp313C1541|RAB2B,E9PKL7|P61019|Q5HYI5|Q8WUD1,1-10 FA,no hit,0.289655058,0.058631425,22.79053064,0.12878381
PRMT1,E9PIX6|E9PKG1|E9PQ98|H7C2I1|Q99873|Q99873-2|Q99873-3|Q99873-4,1-10 FA,no hit,-0.205718639,0.059082161,25.65285906,0.129466185
DST,Q03001,1-10 FA,no hit,0.346308277,0.059171436,26.71785517,0.129466185
PYCR1,J3QKT4|P32322|P32322-2|P32322-3,1-10 FA,no hit,0.288838891,0.060370535,22.73199066,0.131834302
SAE1,Q9UBE0,1-10 FA,no hit,-0.482430994,0.060601036,23.64811953,0.132082181
PGM2,Q96G03,1-10 FA,no hit,-0.470697555,0.060857404,24.46165096,0.132385375
ETFA,P13804,1-10 FA,no hit,-0.269624684,0.061429751,23.99080528,0.133373439
EIF4A2,E7EQG2|Q14240|Q14240-2,1-10 FA,no hit,-0.429357829,0.062151625,24.50060015,0.134681737
IDH1,O75874,1-10 FA,no hit,-0.576388796,0.06278058,23.86131256,0.135784051
