"","LipidProbe","gene_name","hit_annotation","logFC","pvalue","fdr"
"125","PA","HSPA9","enriched candidate",1.2165599,0.0169997,"Data not available"
"126","PA","CD44","enriched candidate",0.7504626,0.0172474,"Data not available"
"127","PA","SLC25A5","enriched candidate",1.0757471,0.0178012,"Data not available"
"128","PA","LDHA","no hit",-1.0940288,0.0179713,"Data not available"
"129","PA","CYP51A1","enriched candidate",0.6923136,0.0183088,"Data not available"
"130","PA","BST2","no hit",-0.5837096,0.0183943,"Data not available"
"131","PA","SERPINB5","no hit",-1.2072295,0.0187761,"Data not available"
"132","PA","RDH11","enriched candidate",0.9828302,0.0190882,"Data not available"
"133","PA","STEAP4","enriched candidate",0.6904106,0.0192346,"Data not available"
"134","PA","RAB35","enriched candidate",0.9938404,0.0195449,"Data not available"
"135","PA","NUDT5","no hit",-1.1725917,0.0196409,"Data not available"
"136","PA","HPD","no hit",-0.8261069,0.0197387,"Data not available"
"137","PA","FH","enriched candidate",1.0869163,0.0201251,"Data not available"
"138","PA","STX4","enriched candidate",1.1623278,0.0204003,"Data not available"
"139","PA","PPP2CA","no hit",-0.6038101,0.0204561,"Data not available"
"140","PA","CMBL","no hit",-0.8246131,0.0205955,"Data not available"
"141","PA","AXL","enriched candidate",0.6605263,0.0211588,"Data not available"
"142","PA","RAB18","no hit",-0.6475098,0.0215452,"Data not available"
"143","PA","NUTF2","no hit",-0.8619663,0.0218436,"Data not available"
"144","PA","LDHB","no hit",-1.0726842,0.0218544,"Data not available"
"145","PA","ABHD14B","no hit",-0.8417298,0.0225916,"Data not available"
"146","PA","GSTO1","no hit",-1.4148474,0.0227676,"Data not available"
"147","PA","SCCPDH","enriched candidate",0.7664889,0.0228555,"Data not available"
"148","PA","GDI2","no hit",-0.6969195,0.0232498,"Data not available"
"149","PA","PNP","no hit",-0.8627469,0.0232774,"Data not available"
"150","PA","PRSS21","enriched candidate",0.6963114,0.0233809,"Data not available"
"151","PA","ANP32B","no hit",-1.3860798,0.0236871,"Data not available"
"152","PA","SLC25A6","enriched candidate",1.1797124,0.0238151,"Data not available"
"153","PA","CPS1","enriched candidate",1.0270738,0.0239479,"Data not available"
"154","PA","ANP32A","no hit",-1.1868057,0.0244341,"Data not available"
"155","PA","AIFM1","enriched candidate",1.0483436,0.0246193,"Data not available"
"156","PA","TXN","no hit",-0.8956316,0.0247717,"Data not available"
"157","PA","YWHAB","no hit",-0.8802779,0.0248553,"Data not available"
"158","PA","PDHB","enriched candidate",1.06992,0.0248684,"Data not available"
"159","PA","PTGES","no hit",0.5018075,0.025071,"Data not available"
"160","PA","PTPRJ","enriched candidate",0.5950299,0.0251618,"Data not available"
"161","PA","CLPTM1L","enriched candidate",1.0283125,0.0256774,"Data not available"
"162","PA","SCAMP3","no hit",-0.6761965,0.0257679,"Data not available"
"163","PA","CLIC4","no hit",0.4297073,0.0265122,"Data not available"
"164","PA","PPP2R1A","no hit",-0.9015254,0.0269971,"Data not available"
"165","PA","KRAS","enriched candidate",0.7409604,0.0275758,"Data not available"
"166","PA","ATP5F1","enriched candidate",0.8173218,0.0276858,"Data not available"
"167","PA","CLTA","no hit",-0.839567,0.0277006,"Data not available"
"168","PA","ACAT1","enriched candidate",1.0392981,0.0277856,"Data not available"
"169","PA","ATP5C1","enriched candidate",1.1618019,0.027949,"Data not available"
"170","PA","TRAP1","enriched candidate",1.2101336,0.0280957,"Data not available"
"171","PA","CD46","no hit",0.56018,0.0281057,"Data not available"
"172","PA","UBA1","no hit",-0.8405999,0.0293119,"Data not available"
"173","PA","PSME3","no hit",-0.745981,0.0303332,"Data not available"
"174","PA","UQCRC2","enriched candidate",0.9581527,0.0313243,"Data not available"
"175","PA","PLIN3","no hit",-1.0299114,0.0315516,"Data not available"
"176","PA","ADPGK","no hit",0.4577273,0.0316733,"Data not available"
"177","PA","YBX1","no hit",-1.7691166,0.032033,"Data not available"
"178","PA","ICAM1","enriched candidate",0.6716955,0.0323045,"Data not available"
"179","PA","TUBB4B","no hit",-0.6867938,0.0324495,"Data not available"
"180","PA","APOL2","enriched candidate",0.7718817,0.0326253,"Data not available"
"181","PA","SAR1A","no hit",-0.7370703,0.032772,"Data not available"
"182","PA","YWHAE","no hit",-0.7459078,0.0330316,"Data not available"
"183","PA","ACTC1|ACTA1","enriched candidate",0.8024025,0.0333403,"Data not available"
"184","PA","SSR4","enriched candidate",0.5855332,0.0335823,"Data not available"
"185","PA","GPI","no hit",-0.7734076,0.0336305,"Data not available"
"186","PA","ABCG2","enriched candidate",1.2601713,0.0336884,"Data not available"
"187","PA","CALM1","enriched candidate",0.7661187,0.0337566,"Data not available"
"188","PA","IGSF8","enriched candidate",0.8283054,0.0340433,"Data not available"
"189","PA","PGD","no hit",-0.8701061,0.0341524,"Data not available"
"190","PA","CD58","enriched candidate",0.7876075,0.0347561,"Data not available"
"191","PA","SERPINB6","no hit",-0.7724718,0.0363172,"Data not available"
"192","PA","PGAM1","no hit",-1.0205799,0.0364536,"Data not available"
"193","PA","HSD17B4","enriched candidate",0.7042386,0.0365094,"Data not available"
"194","PA","PLXNB2","no hit",0.5541265,0.0367329,"Data not available"
"195","PA","ATP5O","enriched candidate",0.9459344,0.0378524,"Data not available"
"196","PA","GLUD1","enriched candidate",1.1635431,0.0378675,"Data not available"
"197","PA","SRPRA","enriched candidate",0.8512058,0.0392771,"Data not available"
"198","PA","CACYBP","no hit",-0.8579596,0.0393082,"Data not available"
"199","PA","TFG","no hit",-1.1244618,0.0396581,"Data not available"
"200","PA","BTF3","no hit",-1.2375595,0.0404243,"Data not available"
